,ADM1_FR,x,y
0,Ouest,-72.42768182139405,18.579270065892224
1,Sud-Est,-72.3666238380384,18.254243140396614
2,Nord,-72.29714056697595,19.599772202695448
3,Nord-Est,-71.8896070394991,19.508416971206117
4,Artibonite,-72.56682628921223,19.332095290363156
5,Centre,-71.98452022210041,19.009592138559757
6,Sud,-73.71646334161453,18.280104511645277
7,Grande'Anse,-74.13167442613465,18.506778819321866
8,Nord-Ouest,-73.0369155706407,19.820834109227167
9,Nippes,-73.39135017661758,18.432222567839325
